File_Name,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,Straight_Hair,Wavy_Hair
000003.png,-1,-1,-1,-1,-1,1
000007.png,1,-1,-1,-1,1,-1
000008.png,1,-1,-1,-1,-1,-1
000012.png,1,-1,-1,-1,1,-1
000013.png,-1,1,-1,-1,1,-1
000015.png,-1,-1,-1,-1,1,-1
000016.png,-1,-1,-1,-1,1,-1
000020.png,1,-1,-1,-1,-1,-1
000021.png,-1,-1,-1,1,1,-1
000023.png,-1,-1,1,-1,1,-1
000030.png,-1,-1,-1,-1,-1,1
000032.png,-1,-1,1,-1,1,-1
000033.png,1,-1,1,-1,1,-1
000036.png,1,-1,-1,-1,1,-1
000041.png,1,-1,-1,-1,-1,-1
000049.png,1,-1,-1,-1,-1,-1
000050.png,1,-1,-1,-1,-1,-1
000051.png,-1,-1,-1,1,-1,-1
000052.png,-1,-1,1,-1,1,-1
000055.png,1,-1,-1,-1,-1,1
000056.png,1,-1,-1,-1,1,-1
000064.png,-1,-1,1,-1,1,-1
000065.png,1,-1,-1,-1,1,-1
000067.png,-1,-1,1,-1,-1,-1
000070.png,1,-1,-1,-1,1,-1
000072.png,1,-1,-1,-1,-1,-1
000076.png,1,-1,-1,-1,-1,-1
000080.png,1,-1,-1,-1,-1,-1
000081.png,1,-1,-1,-1,-1,-1
000090.png,-1,-1,1,-1,1,-1
000091.png,1,-1,-1,-1,1,-1
000102.png,1,-1,-1,-1,-1,-1
000105.png,-1,-1,-1,-1,1,-1
000109.png,-1,-1,-1,-1,1,-1
000114.png,1,-1,-1,-1,1,-1
000116.png,-1,-1,1,-1,1,-1
000119.png,-1,-1,-1,-1,-1,1
000123.png,1,-1,-1,-1,-1,-1
000125.png,-1,-1,-1,1,-1,-1
000127.png,-1,-1,-1,1,1,-1
000129.png,1,-1,-1,-1,-1,-1
000135.png,1,-1,-1,-1,1,-1
000136.png,-1,-1,1,-1,-1,1
000143.png,-1,-1,1,-1,1,-1
000144.png,1,-1,-1,-1,-1,1
000152.png,-1,1,-1,-1,1,-1
000153.png,-1,-1,-1,-1,1,-1
000158.png,1,-1,-1,-1,-1,-1
000160.png,1,-1,-1,-1,-1,-1
000164.png,1,-1,-1,-1,1,-1
000171.png,-1,-1,1,-1,1,-1
000181.png,1,-1,-1,-1,-1,-1
000187.png,1,-1,-1,-1,1,-1
000188.png,-1,-1,1,-1,1,-1
000193.png,1,-1,-1,-1,-1,-1
000197.png,-1,-1,-1,-1,1,-1
000200.png,-1,-1,1,-1,-1,-1
000202.png,-1,-1,-1,1,-1,-1
000205.png,-1,-1,1,-1,-1,-1
000206.png,1,-1,-1,-1,-1,-1
000209.png,-1,-1,-1,1,-1,-1
000212.png,1,-1,-1,-1,1,-1
000213.png,-1,-1,-1,1,-1,-1
000214.png,1,-1,-1,-1,1,-1
000215.png,-1,-1,1,-1,-1,-1
000221.png,-1,-1,-1,1,-1,-1
000223.png,-1,1,-1,-1,1,-1
000224.png,-1,-1,-1,1,-1,-1
000227.png,-1,-1,-1,-1,1,-1
000229.png,-1,-1,-1,-1,1,-1
000230.png,1,-1,-1,-1,-1,-1
000234.png,-1,-1,-1,1,-1,-1
000235.png,-1,-1,1,-1,-1,-1
000242.png,1,-1,-1,-1,-1,-1
000244.png,-1,-1,-1,-1,1,-1
000245.png,1,-1,-1,-1,-1,-1
000250.png,1,-1,-1,-1,-1,-1
000261.png,-1,-1,1,-1,1,-1
000264.png,-1,-1,-1,1,1,-1
000272.png,1,-1,-1,-1,-1,-1
000274.png,-1,-1,-1,-1,1,-1
000276.png,-1,-1,-1,-1,-1,1
000277.png,1,-1,1,-1,-1,1
000282.png,-1,-1,-1,-1,1,-1
000284.png,1,-1,-1,-1,-1,-1
000286.png,1,-1,-1,-1,1,-1
000294.png,1,-1,-1,-1,-1,-1
000295.png,-1,-1,-1,1,-1,-1
000297.png,1,-1,-1,-1,1,-1
000298.png,1,-1,-1,-1,-1,-1
000300.png,1,-1,-1,-1,-1,-1
000306.png,-1,-1,-1,1,-1,-1
000307.png,-1,-1,1,-1,-1,-1
000310.png,-1,-1,-1,1,1,-1
000313.png,-1,-1,-1,1,1,-1
000316.png,-1,-1,-1,1,-1,-1
000318.png,-1,-1,-1,-1,1,-1
000320.png,1,-1,-1,-1,1,-1
000321.png,1,-1,-1,-1,-1,-1
000324.png,1,-1,-1,-1,-1,-1
000329.png,-1,-1,1,-1,-1,1
000330.png,-1,-1,-1,1,-1,-1
000331.png,-1,-1,-1,-1,-1,1
000336.png,1,-1,-1,-1,-1,-1
000339.png,1,-1,-1,-1,-1,-1
000340.png,1,-1,-1,-1,-1,-1
000346.png,1,-1,-1,-1,1,-1
000350.png,1,-1,-1,-1,-1,-1
000352.png,-1,-1,1,-1,-1,-1
000355.png,1,-1,-1,-1,-1,-1
000362.png,1,-1,-1,-1,-1,-1
000363.png,1,-1,-1,-1,-1,-1
000367.png,1,-1,-1,-1,-1,-1
000370.png,1,-1,-1,-1,1,-1
000377.png,-1,-1,-1,-1,-1,1
000378.png,-1,-1,-1,-1,1,-1
000380.png,-1,1,1,-1,1,-1
000383.png,-1,-1,-1,1,1,-1
000389.png,-1,-1,1,-1,1,-1
000398.png,-1,-1,1,-1,-1,1
000401.png,1,-1,1,-1,-1,-1
000406.png,1,-1,-1,-1,-1,-1
000409.png,1,-1,-1,-1,-1,-1
000413.png,-1,-1,-1,-1,1,-1
000418.png,1,-1,-1,-1,-1,-1
000427.png,1,-1,-1,-1,-1,-1
000428.png,-1,-1,1,-1,-1,-1
000429.png,-1,-1,1,-1,-1,-1
000430.png,1,-1,-1,-1,-1,-1
000433.png,1,-1,-1,-1,1,-1
000439.png,1,-1,-1,-1,-1,-1
000440.png,-1,-1,-1,1,-1,1
000443.png,-1,-1,1,-1,1,-1
000444.png,-1,-1,-1,1,-1,1
000449.png,-1,-1,-1,1,-1,-1
000452.png,1,-1,-1,-1,1,-1
000453.png,-1,-1,1,-1,-1,-1
000456.png,1,-1,-1,-1,-1,-1
000459.png,-1,-1,1,-1,-1,-1
000460.png,-1,-1,-1,-1,-1,1
000461.png,1,-1,-1,-1,-1,-1
